country_code,specializations,specialization_type,has_pricing,min_2_bookable_services_with_prices,min_4_bookable_services_with_prices,count
mx,orthopaedic surgeon / orthopedist,medical,1,0,0,44
br,psychologist,paramedical,1,0,0,106
mx,general surgeon,medical,1,1,0,15
br,gastroenterologist / hepatologist,medical,1,1,1,2
br,general practitioner / infectologist,medical,1,1,0,1
mx,ophthalmologist,medical,0,1,1,4
mx,nutrologist / nutritionist,medical,0,0,0,5
br,geriatrician,medical,1,0,0,11
mx,otorhinolaryngologist,medical,1,1,1,5
mx,optometrist,medical,1,1,0,4
br,general practitioner / nephrologist,medical,1,0,0,1
br,endocrinologist,medical,1,1,1,37
mx,nutrologist,medical,1,1,1,16
mx,internist / infectologist,medical,1,1,1,2
br,general practitioner / intensive medicine specialist,medical,1,1,0,1
br,psychiatrist,medical,1,1,0,37
br,nutrologist / endoscopist / general surgeon,medical,1,0,0,1
mx,dermatologist,medical,1,0,0,18
mx,speech therapist / complementary therapist,paramedical,1,1,1,1
br,neurologist,medical,1,0,0,21
br,oral and maxillofacial surgeon,paramedical,1,1,0,2
br,hepatologist / gastroenterologist,medical,1,0,0,1
mx,anesthesiologist / pain management specialist,paramedical,1,0,0,2
mx,hematologist,medical,0,1,0,3
mx,physiotherapist,paramedical,0,1,1,17
mx,pediatric infectologist / pediatrician,medical,1,0,0,2
mx,radiologist,medical,0,1,1,3
br,rheumatologist,medical,1,1,1,13
br,general practitioner / endocrinologist,medical,1,1,1,2
mx,pediatric surgeon,medical,0,0,0,4
br,allergist / pediatrician,medical,1,1,1,1
br,generalist,medical,1,1,0,14
br,psychiatrist / generalist,medical,1,1,1,6
mx,respiratory physician,medical,1,1,1,8
br,neurosurgeon,medical,1,1,0,6
mx,general surgeon / general practitioner / internist,medical,0,0,0,1
mx,acupuncturist,medical,1,1,0,2
br,hematologist / medical clinic specialist,medical,1,0,0,1
br,general practitioner / dermatologist,medical,0,0,0,1
br,rheumatologist / general practitioner,medical,1,1,1,1
mx,dentist / pediatric dentist,medical,1,0,0,3
mx,sports medicine specialist,paramedical,1,0,0,2
br,general practitioner / occupational doctor / generalist,medical,1,0,0,1
br,sexologist / psychoanalyst / complementary therapist,medical,1,1,1,1
br,pediatric endocrinologist,medical,1,0,0,6
br,otolaryngologist,medical,1,1,1,18
mx,ophthalmologist / medical and surgical retina specialist,medical,1,0,0,2
mx,angiologist,medical,1,1,0,2
mx,pediatrician / neonatologist,medical,1,1,1,7
br,general practitioner,medical,0,0,0,6
br,psychoanalyst / psychologist,paramedical,1,1,1,6
br,urologist / expert doctor,medical,1,0,0,1
mx,pediatrician / neonatologist,medical,0,1,0,3
mx,chiropractor,paramedical,0,1,1,1
mx,general surgeon / general practitioner,medical,0,1,1,1
br,endocrinologist / general practitioner / medical clinic specialist,medical,1,0,0,1
br,nutrologist / acupuncturist / general surgeon,medical,1,0,0,1
br,specialist in physical medicine and rehabilitation,medical,1,1,1,1
mx,pediatrician / neurophysiologist,medical,1,1,0,1
mx,pediatric dentist / dentist,medical,1,0,0,3
mx,infectologist,medical,0,1,1,1
mx,allergist / immunologist,medical,0,1,1,1
mx,maxillofacial surgeon,medical,1,1,1,1
br,general practitioner / psychoanalyst,medical,1,1,1,1
mx,pediatrician / allergist / immunologist,medical,1,1,1,1
mx,rheumatologist / internist,medical,1,0,0,3
mx,internist / rheumatologist,medical,1,0,0,1
mx,oncologist surgeon,medical,0,0,0,1
br,generalist / psychologist,medical,1,1,1,1
br,oncologist / medical clinic specialist,medical,1,0,0,2
br,dermatologist / occupational doctor,medical,1,0,0,1
mx,nephrologist / internist / general practitioner,medical,1,0,0,1
br,digestive system surgeon / general surgeon,medical,1,0,0,4
mx,family doctor,medical,1,0,0,3
mx,anesthesiologist,paramedical,0,1,1,1
mx,geriatrician / internist,medical,1,1,0,1
br,dentist / oral and maxillofacial surgeon,paramedical,1,0,0,1
br,medical clinic specialist / occupational doctor / expert doctor,medical,1,1,1,1
mx,pediatrician / general practitioner,medical,1,1,1,1
mx,gastroenterologist / family doctor / general practitioner,medical,1,0,0,1
br,speech therapist,paramedical,1,1,0,1
br,nurse,paramedical,1,0,0,1
mx,dentist,,1,0,0,1
mx,specialist in critical medicine and intensive care,paramedical,1,1,0,1
mx,respiratory physician / general practitioner,medical,1,1,0,1
br,pediatrician / dermatologist,medical,1,0,0,1
br,hepatologist,medical,1,1,1,1
br,general practitioner / general surgeon / oncologist surgeon,medical,1,1,1,1
br,nuclear medicine specialist,medical,0,0,0,1
br,gastroenterologist / medical clinic specialist,medical,1,0,0,1
mx,allergist / pediatric  respiratory physician / pediatrician,medical,0,0,0,1
mx,gastroenterologist,medical,1,1,1,1
mx,gynecologist / specialist in obesity and thinness,medical,1,1,1,1
br,head and neck surgeon / general surgeon,medical,1,0,0,1
mx,dentist,medical,0,0,0,45
br,ophthalmologist,medical,1,1,1,50
mx,internist,medical,0,0,0,10
mx,general surgeon,medical,0,0,0,42
mx,plastic surgeon,medical,1,0,0,11
br,general surgeon / coloproctologist,medical,1,0,0,2
br,infectologist,medical,1,1,1,19
mx,general practitioner,medical,0,1,0,8
br,rheumatologist / general practitioner,medical,1,1,0,1
br,general surgeon,medical,1,0,0,9
mx,dermatologist,medical,1,1,1,10
br,nutritionist,paramedical,1,1,0,17
br,oncologist,medical,1,1,1,12
mx,general practitioner / orthopaedic surgeon / orthopedist,medical,1,0,0,1
br,pediatrician,medical,0,0,0,5
mx,gynecologist,medical,1,0,0,77
mx,orthopaedic surgeon / orthopedist,medical,1,1,1,19
mx,oncologist,medical,1,1,0,3
mx,sports medicine specialist / specialist in obesity and thinness / general practitioner,paramedical,1,1,0,1
mx,psychoanalyst / psychologist,medical,0,1,1,1
br,generalist / general practitioner,medical,1,0,0,9
mx,nutrologist / general practitioner,medical,0,1,1,1
mx,pediatric cardiologist / pediatrician,medical,1,0,0,2
br,general practitioner / pediatric surgeon,medical,1,0,0,1
br,gastroenterologist,medical,1,1,1,11
mx,nephrologist,medical,1,0,0,16
br,dentist,paramedical,0,0,0,3
br,specialist in aesthetic medicine,medical,1,0,0,1
br,nutrologist / medical clinic specialist,medical,1,1,1,2
br,physical therapist,paramedical,0,1,0,1
br,family doctor / generalist,medical,1,0,0,3
mx,neurologist,medical,1,0,0,7
mx,pediatric gastroenterologist / pediatrician,medical,1,0,0,4
br,angiologist,medical,1,0,0,2
br,general practitioner / traffic doctor,medical,1,1,1,2
mx,general practitioner / diabetologist,medical,1,1,0,1
br,pediatrician / pediatric endocrinologist,medical,1,0,0,1
mx,pediatric hematologist / pediatrician,medical,1,1,0,2
mx,nutritionist,paramedical,0,1,0,1
br,general practitioner / psychiatrist,medical,1,0,0,2
mx,oncologist surgeon,medical,1,0,0,2
br,cardiologist / medical clinic specialist,medical,1,1,1,8
br,emergency doctor,medical,1,0,0,1
mx,neurosurgeon / neurologist / general surgeon,medical,1,0,0,1
mx,proctologist / general surgeon,medical,1,0,0,3
br,angiologist / vascular surgeon,medical,1,1,0,1
br,pediatrician / nutrologist / homeopath,medical,1,0,0,1
mx,cardiologist / general practitioner,medical,1,1,1,2
mx,dentist / orthodontist,medical,0,1,0,1
mx,dermatologist / general practitioner,medical,1,0,0,1
mx,internist / general practitioner / specialist in critical medicine and intensive care,medical,0,0,0,1
mx,psychologist,,1,1,1,2
mx,psychologist / educational psychologist,paramedical,1,1,1,1
br,family doctor / psychiatrist / general practitioner,medical,1,1,1,1
br,pediatrician / general practitioner,medical,1,1,0,1
mx,gynecologist / gynecologist,medical,0,1,0,1
br,pediatric neurologist / pediatrician,medical,1,0,0,3
br,general surgeon / gastroenterologist,medical,1,1,1,1
br,cardiologist / general practitioner,medical,1,0,0,3
mx,pediatrician / specialty in critically ill pediatric medicine,medical,1,1,1,6
mx,general practitioner / clinical nutritionist / nutritionist,medical,1,1,0,1
br,generalist / hematologist,medical,1,1,1,1
br,dermatologist / infectologist / specialist in aesthetic medicine,medical,1,0,0,1
br,ultrasound specialist / diagnostic radiologist,medical,1,1,1,1
mx,internist / nephrologist,medical,1,0,0,1
br,urologist / human reproduction specialist,medical,1,1,1,1
br,mastologist / general practitioner / gynecologist,medical,1,1,0,1
br,nutritionist / psychoanalyst / complementary therapist,paramedical,1,1,1,1
br,psychoanalyst / pediatrician,paramedical,1,1,1,1
mx,complementary therapist,paramedical,1,1,0,1
br,general practitioner / gastroenterologist,medical,1,0,0,1
mx,internist / endocrinologist,medical,1,0,0,1
br,oncologist surgeon / general surgeon,medical,1,0,0,1
mx,audiologist / phoniatrician,paramedical,0,1,1,1
br,allergist / pediatrician / emergency doctor,medical,1,1,0,1
br,neurologist / cardiologist / family doctor,medical,1,0,0,1
mx,allergist / pediatrician,medical,1,1,1,1
mx,implantologist / dentist,medical,0,0,0,2
br,pediatric endocrinologist / pediatrician,medical,1,0,0,1
br,nephrologist,,1,1,1,1
mx,sexologist / general practitioner,paramedical,1,1,1,1
br,traumatologist and orthopedist / nutritionist / generalist,medical,1,0,0,1
mx,neurosurgeon / general practitioner,medical,0,0,0,1
mx,educational psychologist,paramedical,0,1,1,1
mx,pediatric  respiratory physician / pediatrician,medical,0,1,0,2
mx,physical medicine and rehabilitation specialist,paramedical,1,1,1,4
mx,psychologist,paramedical,0,1,0,27
mx,plastic surgeon,medical,1,1,1,7
br,generalist,medical,1,1,1,64
br,ophthalmologist,medical,1,1,0,11
mx,general surgeon,medical,1,1,1,33
mx,general practitioner,medical,1,1,0,31
br,nutrologist / general surgeon,medical,1,0,0,2
br,speech therapist,paramedical,1,0,0,9
br,neurosurgeon,medical,1,0,0,25
mx,internist,medical,1,0,0,13
mx,maxillofacial surgeon,medical,0,0,0,3
mx,oncologist surgeon / general surgeon,medical,1,1,1,3
mx,hematologist,medical,0,1,1,2
mx,pediatrician,medical,0,1,0,4
mx,neurosurgeon,medical,1,0,0,15
br,pediatrician / family doctor,medical,1,1,1,1
mx,angiologist,medical,1,0,0,4
mx,pediatrician / neonatologist,medical,0,0,0,2
br,pediatrician / pediatric infectologist,medical,1,1,1,1
mx,urology gynecologist / gynecologist,medical,1,0,0,1
mx,dentist / orthodontist / implantologist,medical,1,1,1,1
mx,general practitioner / specialist in obesity and thinness,medical,1,1,1,1
br,geriatrician / gynecologist / psychoanalyst,medical,1,1,0,1
